uid218	82,5,4,7,17,39,93,6,10,81,22,94,1,9,8,3,14,13
uid470	5,24,33,27,6,40,32,29,42,1,3,30,25,38,28,41,31,26
uid51	35,94,44,0,9,8,11,7,27,15,80,10,36,32,81,29,91,28,3,4,30,84,92,24,6,90,2,22,41,25,31,5,33,40,37,42,1,89,38,45,14,26
uid381	35,24,27,36,32,37,29,40,42,41,38,28,25,31,26
uid444	17,4,92,10,6,93,81,22,94,0,1,9,8,3,7,12,13
uid154	59,11,88,21,27,13,81,49,16,12,68,24,6,66,22,33,56,47,85,26,54,80,91,84,86,43,2,31,50,60,14,94,67,44,9,8,7,55,58,10,62,36,3,4,92,108,90,41,63,5,57,37,42,1,18,35,52,0,17,15,51,32,29,28,30,87,48,20,65,46,25,39,40,89,61,38,45,53
uid442	44,9,8,7,27,10,32,29,4,3,28,30,84,24,6,46,25,41,31,5,33,40,37,42,1,38,45,14,26
uid421	82,94,44,9,0,8,11,7,88,21,27,17,80,10,32,81,29,4,28,3,16,30,12,87,24,6,86,46,2,22,41,25,31,5,33,40,42,1,38,85,14,26
uid514	0,9,8,11,7,21,27,17,10,32,29,4,3,28,16,12,30,24,6,20,46,43,22,2,25,31,41,5,39,33,40,37,42,1,18,14,26
uid467	44,27,36,32,29,3,4,28,30,84,24,6,46,41,25,31,5,33,40,37,42,1,38,26
uid135	11,88,21,27,13,72,81,49,16,12,68,24,6,66,22,33,56,47,85,26,54,80,91,84,86,43,2,31,50,60,14,73,67,44,9,34,8,69,7,55,58,75,10,93,36,62,3,4,92,90,41,63,5,57,37,42,1,18,70,0,17,15,32,29,28,30,87,20,65,46,25,39,40,71,89,61,38,45,53
uid499	24,27,40,29,42,25,38,28,41,26
uid459	94,44,9,0,8,11,7,88,27,17,10,32,29,4,28,3,16,30,12,87,24,6,86,46,2,22,25,41,31,5,39,33,40,42,1,18,38,85,14,26
uid563	87,24,33,40,26,29,42,86,81,41,88,85,25,31,27,13
uid495	0,9,8,11,7,88,27,17,10,36,32,29,4,3,28,16,12,30,87,24,6,86,46,2,25,41,31,5,33,40,37,42,1,85,14,26
uid256	44,0,9,11,27,15,80,10,36,32,81,29,91,28,16,30,84,92,24,46,2,41,25,31,40,37,42,1,89,38,45,14,26
uid301	44,8,11,7,27,17,32,29,3,28,4,30,24,6,48,46,43,41,25,31,5,39,33,40,37,42,1,38,26
uid437	94,44,9,8,7,27,13,10,32,81,29,3,4,28,30,24,6,46,2,22,25,41,31,5,33,40,37,42,1,85,14,26
uid193	59,52,44,0,9,47,8,67,11,7,88,21,54,55,58,27,60,17,15,80,10,51,36,32,81,29,62,91,53,28,3,4,16,30,12,84,87,92,24,68,6,48,86,85,20,65,66,46,43,90,2,22,41,25,31,50,63,5,39,33,57,40,37,42,1,56,18,89,61,38,45,14,26
uid334	82,81,13
uid431	82,94,9,8,7,88,27,13,17,15,10,32,29,4,3,28,30,84,87,92,24,6,86,22,2,41,25,31,5,33,40,37,109,42,1,38,85,14,26
uid210	5,4,7,17,39,6,1,8,3
uid34	82,59,76,11,88,27,13,72,81,79,49,16,12,68,24,6,66,22,33,56,47,26,85,54,80,86,78,43,2,31,50,60,14,73,94,67,44,9,34,8,69,7,55,58,75,93,10,36,4,3,64,108,41,63,5,57,37,42,1,18,70,77,52,0,17,15,32,29,28,30,87,20,65,46,25,39,40,71,61,38,45,53
uid542	24,33,27,6,28,26,37,29,1,38,3,25,31,30
uid200	35,94,44,0,9,8,11,7,27,13,15,80,10,36,32,81,29,91,28,3,4,30,92,24,6,90,2,22,41,25,31,33,40,37,42,1,89,38,45,14,26
uid536	0,9,8,7,27,15,80,10,29,91,3,4,16,30,24,6,46,22,25,31,5,33,1,89,38,45,14
uid345	82,87,24,28,33,27,40,86,26,42,44,81,25,88,41,31,85,13
uid337	9
uid75	82,59,76,11,88,27,13,72,81,79,49,16,12,68,24,6,66,22,33,56,47,85,26,54,80,91,84,86,78,43,2,31,50,60,14,73,94,67,44,9,34,8,69,7,55,58,75,10,93,36,3,4,64,92,108,90,41,63,5,57,37,96,42,1,18,70,35,77,52,0,17,15,32,29,28,30,87,20,65,46,25,39,40,109,71,89,61,38,45,53
uid286	72,40,29,71,34,42,41,70,38,25,31,26,73
